np;l;c
32;4;12
45;4;13
33;6;9
22;5;8
40;4;14
51;13;13
29;6;2
130;8;14
29;6;5
24;3;7
26;3;6
50;7;12
35;3;21
24;6;15
75;7;12
34;6;7
106;12;10
29;5;21
40;7;15
73;6;40
29;4;20
71;4;2
21;2;20
37;6;4
23;5;4
53;4;26
26;5;5
95;4;53
53;11;15
179;5;78
22;2;21
28;4;9
78;5;72
56;4;53
124;5;51
138;10;18
34;4;9
31;5;7
44;4;10
50;2;49
24;6;5
44;2;43
60;8;40
36;7;8
23;1;23
32;3;15
34;3;14
148;11;42
36;2;18
47;8;19
32;1;32
22;1;22
31;4;12
45;3;16
35;9;25
31;5;9
24;3;15
25;6;13
31;10;5
61;4;16
22;1;22
68;5;24
25;3;23
23;2;22
60;3;20
26;3;12
65;5;21
23;9;2
30;3;14
23;4;20
43;4;17
59;5;21
22;6;3
24;4;4
29;3;14
28;5;5
24;3;4
32;3;12
30;4;15
23;5;2
71;5;13
25;4;16
49;5;11
27;4;10
26;7;2
21;3;8
32;4;11
41;5;9
40;7;10
23;7;10
31;5;3
46;10;5
24;3;19
59;10;26
25;6;3
23;3;6
40;3;15
87;7;11
31;5;7
22;4;19
32;6;8
22;6;6
27;4;2
37;5;7
45;8;14
42;6;4
41;3;16
27;3;11
55;5;20
30;2;15
27;4;18
36;4;8
23;10;2
24;5;8
29;6;4
24;6;2
40;4;16
52;6;27
57;3;25
21;4;7
50;2;27
21;5;3
25;3;16
21;7;15
23;5;15
87;7;8
42;7;12
23;3;14
160;9;22
32;5;20
39;5;35
30;8;8
21;5;7
37;4;34
28;6;5
51;4;15
29;6;16
83;4;32
40;9;32
28;7;16
43;6;5
42;3;21
27;5;6
46;10;10
22;4;9
62;7;5
32;9;19
40;8;27
95;9;26
33;3;15
33;5;5
42;3;17
72;6;22
39;6;12
31;4;12
22;10;9
33;2;21
21;5;3
112;7;22
31;4;16
42;4;4
25;3;8
25;9;4
28;7;11
27;7;7
24;6;5
23;4;12
24;9;10
46;6;17
28;5;8
21;2;20
36;4;13
28;5;4
53;18;4
21;2;11
29;7;13
83;8;18
28;12;5
31;3;13
40;4;17
37;4;14
21;3;8
29;6;8
22;2;15
24;5;5
35;11;3
37;10;7
23;5;5
25;6;3
22;4;3
25;5;11
26;9;14
76;9;17
26;3;14
36;5;25
35;6;4
23;3;7
29;5;11
53;5;27
38;3;18
31;5;9
24;3;9
21;3;7
23;3;9
29;6;22
39;5;7
43;5;28
37;4;16
89;12;5
58;8;41
31;8;2
60;7;2
49;6;19
46;6;9
37;5;7
66;3;25
164;5;10
76;11;11
108;7;78
199;9;52
30;5;8
23;5;19
54;6;2
84;7;4
32;7;10
57;1;57
36;4;14
